docs/eventbus-batch-evidence/discovery/before-q1-20k-verified.json: PASS; 398137 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/discovery/before-q1-20k.json: PASS; 399886 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/after-q1-20k-1.json: PASS; 399554 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/after-q1-20k-2.json: PASS; 399831 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/after-q1-20k-3.json: PASS; 399821 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/after-q1-25k.json: PASS; 483866 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/after-q1-30k.json: PASS; 533402 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/before-q1-20k-1.json: PASS; 399476 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/before-q1-20k-2.json: PASS; 399733 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/before-q1-20k-3.json: PASS; 399560 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/before-q1-25k.json: PASS; 481797 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
docs/eventbus-batch-evidence/paired/before-q1-30k.json: PASS; 532688 publishes=accepted=PUBACK=ACK=dequeued; zero rejects/retries/failures/errors; site counts exactly sum to aggregate; ns/us sums differ only by truncation; final pending=0; exit=0
