label,qos,connections,tls,intended_s,attempted_s,accepted_s,client_completed_s,p50_ms,p95_ms,p99_ms,server_cpu_cores,loadgen_cpu_cores,server_rss_peak_kib,loadgen_rss_peak_kib,server_rx_bytes_s,server_tx_bytes_s,pending_peak,pending_end,missed_schedule_s,errors,result
http-10000,1,64,False,10000.0,10000.0,9999.200067328013,10000.0,0.12,0.21,0.26,0.7570151466113918,0.26167190228531156,10384,4416,3468892.6298811417,5923277.783589137,276,92,0.0,0,HEALTHY
http-2000,1,64,False,2000.0,1999.9333333333334,1999.8234816118145,1999.9333333333334,0.08,0.13,0.16,0.15732993588252156,0.06666522706886507,9184,4368,694038.4199882144,1196732.4600805477,4,0,0.0,0,HEALTHY
idle-plain-1000,1,1000,False,,,,,,,,,,,,,,,,,0,
idle-plain-10000-valid,1,10000,False,,,,,,,,,,,,,,,,,0,
idle-plain-3000,1,3000,False,,,,,,,,,,,,,,,,,0,
idle-tls-1000,1,1000,True,,,,,,,,,,,,,,,,,0,
idle-tls-3000,1,3000,True,,,,,,,,,,,,,,,,,0,
payload-1024,1,64,False,2000.0,2000.0,1999.8204882077994,2000.0,0.09,0.15,0.18,0.08454558243375664,0.06516359120388358,8032,4512,2134133.187496239,24991.24858532385,1,0,0.0,0,HEALTHY
payload-256,1,64,False,2000.0,2000.0,1999.9217867110222,2000.0,0.08,0.13,0.16,0.08566902779930875,0.06966858680955457,8064,4384,566060.1885910045,24991.91269015635,0,0,0.0,0,HEALTHY
payload-32768,1,64,False,2000.0,2000.0666666666666,1999.9113121098844,2000.0666666666666,0.28,0.47,0.56,0.38066247515408647,0.17799804004578124,9088,6384,65989467.08921841,25128.44397515603,0,0,0.0,0,HEALTHY
payload-64,1,64,False,2000.0,2000.0,1999.9238920259595,2000.0,0.08,0.12,0.15,0.07766630001700867,0.06566635666674121,7920,4352,301986.25476095936,24993.055628183163,0,0,0.0,0,HEALTHY
payload-8192,1,64,False,2000.0,1999.9333333333334,1999.8411186963754,1999.9333333333334,0.15,0.22,0.26,0.19899745780747652,0.09633210269072146,9248,4688,16712589.078540238,25588.105950959616,1,0,0.0,0,HEALTHY
profile-10000,1,64,False,10000.0,10000.0,9998.677025962643,10000.0,0.11,0.2,0.31,0.3966670776402036,0.27533361859731775,8384,4368,2828745.446201566,58445.11748193703,6,0,0.0,0,HEALTHY
profile-30000,1,64,False,30000.0,29171.466666666667,29167.019552197446,29171.466666666667,0.24,0.5,0.68,1.045974402705222,0.6939830167088185,8128,4352,8252872.191080121,135190.3991704672,33,0,830.2666666666667,0,LOADGEN-LIMITED
profile-50000,1,64,False,50000.0,39830.0,39822.62729034556,39830.0,0.29,0.58,0.73,1.393984619703029,0.9366563322251344,8336,4384,11268507.075302603,177834.6720816526,55,0,10169.466666666667,0,LOADGEN-LIMITED
publishers-1,1,1,False,20000.0,3332.4,3332.0787474414315,3332.4,0.05,0.08,0.1,0.09733173885127626,0.07633208286624063,5680,3312,941487.4438992132,30994.915040177,0,0,16667.433333333334,0,LOADGEN-LIMITED
publishers-10,1,10,False,20000.0,8394.5,8393.988558330102,8394.5,0.09,0.16,0.19,0.32899563213335603,0.22599699958096797,6528,3808,2367420.1359669613,50763.25788930985,6,0,11605.866666666667,0,LOADGEN-LIMITED
publishers-100,1,100,False,20000.0,19879.433333333334,19877.963311173087,19879.433333333334,0.18,0.38,1.0,0.6663287513903072,0.4593301747953194,9232,4800,5624321.859570731,96770.51004145957,22,0,120.2,0,HEALTHY
publishers-1000,1,1000,False,20000.0,20000.0,19998.565737426292,20000.0,0.18,0.3,0.36,0.7350207929297092,0.4140117119359178,32304,14512,5677420.189284912,97421.23936006415,12,0,0.0,0,HEALTHY
q0-20000-r1,0,64,False,20000.0,20000.2,19999.404356402792,20000.2,,,,0.6268381713016813,0.3128357478152767,8144,4448,5617013.554991845,17263.540220887386,31,0,0.4166666666666667,0,HEALTHY
q1-10000-r1,1,64,False,10000.0,9953.45,9953.209930632684,9953.466666666667,0.15,0.56,2.33,0.34216758101828226,0.2330006226320305,7280,3952,,,15,0,46.583333333333336,0,HEALTHY
q1-10000-r2,1,64,False,10000.0,9997.3,9996.834489078987,9997.3,0.11,0.18,0.23,0.38716800239627497,0.25266753836967404,8224,4448,2828052.613315375,57233.13958117689,8,0,2.7,0,HEALTHY
q1-10000-r3,1,64,False,10000.0,9996.666666666666,9996.18493163787,9996.666666666666,0.11,0.18,0.22,0.3904942027881478,0.26099612529502325,8176,4480,2827760.850061591,56920.67915793178,13,0,3.3333333333333335,0,HEALTHY
q1-20000-r1,1,64,False,20000.0,19984.266666666666,19983.57962807281,19984.266666666666,0.17,0.3,0.39,0.6859993006694463,0.43783288699189393,7808,4000,,,26,0,15.733333333333333,0,HEALTHY
q1-20000-r2,1,64,False,20000.0,19873.0,19871.816541904387,19873.0,0.19,0.56,1.38,0.5914846177031607,0.41315592203046925,8672,4464,,,22,0,127.0,0,HEALTHY
q1-20000-r3,1,64,False,20000.0,19984.266666666666,19984.097078028764,19984.266666666666,0.17,0.3,0.35,0.7306726536157222,0.4951707239717862,8224,4416,5652880.328681631,97312.44677247896,22,0,15.4,0,HEALTHY
q1-30000-r1,1,64,False,30000.0,28710.45,28709.26812259036,28710.45,0.22,0.47,1.1,0.9399842226154859,0.5941566939050013,8512,4112,,,46,0,1289.1666666666667,0,LOADGEN-LIMITED
q1-30000-r2,1,64,False,30000.0,28680.0,28678.219715962463,28680.0,0.25,0.67,1.31,0.7849968899993214,0.5258312500950867,8592,4464,,,197,0,1320.0666666666666,0,LOADGEN-LIMITED
q1-30000-r3,1,64,False,30000.0,28867.383333333335,28866.683284224204,28867.383333333335,0.22,0.42,0.51,1.0111701678433729,0.6710023233455445,8272,4400,8165488.737093666,132901.679555111,39,0,1132.6333333333334,0,LOADGEN-LIMITED
q2-20000-r1,2,64,False,20000.0,19983.0,19982.028044110295,19983.0,0.38,0.72,1.56,1.1583349590178371,0.7326676949413543,8448,4496,5732144.570047281,177136.73679551465,17,0,17.016666666666666,0,HEALTHY
tcp-absent-recover,1,64,False,500.0,500.03333333333336,499.9712955675782,500.03333333333336,0.05,0.11,0.13,0.055000509213047805,0.01666682097365085,24976,4080,272445.5799127908,398330.4038969029,9006,0,0.0,0,HEALTHY
tcp-filter-recover,1,64,False,500.0,500.03333333333336,499.95326235308926,500.03333333333336,0.05,0.11,0.14,0.057331796202901096,0.01633289542989624,25744,4048,272295.78914130526,397910.26064519933,9610,0,0.0,0,HEALTHY
tcp-healthy,1,64,False,1000.0,1000.0,997.4720707771138,1000.0,0.06,0.11,0.13,0.061512828125526206,0.03291767559149781,8048,4160,481205.9491619521,596712.1014389042,2,0,0.0,0,HEALTHY
tcp-reconnect,1,64,False,500.0,500.0,499.95359426338166,500.0,0.05,0.11,0.13,0.030999189456960126,0.015666257037388453,12512,4096,240765.67920366692,306620.1202343189,2320,0,0.0,0,HEALTHY
tcp-slow,1,64,False,500.0,500.0,499.9731844175909,500.0,0.05,0.1,0.13,0.02905073602105818,0.016027992287480374,39008,4096,158168.06489441637,66356.89600079803,16353,16680,0.0,0,OVERLOAD
tls-20000,1,64,True,20000.0,20000.0,19998.939791187448,20000.0,0.17,0.3,0.35,0.7525102769952274,0.5090069514824861,9872,6096,6098217.662257585,539493.5295078113,25,0,0.0,0,HEALTHY
